plan_id,user_id,username_snapshot,primary_goal_snapshot,secondary_goal_snapshot,training_level_snapshot,plan_name,plan_type,plan_start_date,plan_end_date,duration_weeks,days_per_week,split_type,session_duration_target_min,progression_strategy,weekly_set_target,session_volume_target,deload_strategy,plan_status,generation_source,generator_version,plan_version,exercise_item_count,rationale,safety_notes,created_at,updated_at
PLAN000001,U000001,quang001,Muscle Gain,General Fitness,Intermediate,8-Week Muscle Gain - Full Body,Personalized,2026-08-10,2026-10-04,8,3,Full Body,70,RPE-Based,66,22,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,24,"Generated from U000001 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000002,U000002,mai002,Strength,Muscle Gain,Intermediate,8-Week Strength - Auto,Personalized,2026-08-10,2026-10-04,8,2,Push Pull Legs,75,Linear Progression,18,9,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,6,"Generated from U000002 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000003,U000003,kai003,Fat Loss,Strength,Advanced,8-Week Fat Loss - Body Part Split,Personalized,2026-08-10,2026-10-04,8,3,Body Part Split,50,Linear Progression,26,8.67,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,14,"Generated from U000003 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000004,U000004,alex004,Strength,Athletic Performance,Advanced,8-Week Strength - Chest Back Legs,Personalized,2026-08-10,2026-10-04,8,6,Chest Back Legs,50,Double Progression,76,12.67,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,32,"Generated from U000004 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000005,U000005,son005,General Fitness,Muscular Endurance,Beginner,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,2,Auto,60,Linear Progression,16,8,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,8,"Generated from U000005 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000006,U000006,vy006,General Fitness,Muscular Endurance,Beginner,8-Week General Fitness - Auto,Personalized,2026-08-10,2026-10-04,8,6,Upper Lower,75,Auto,68,11.33,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,42,"Generated from U000006 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000007,U000007,taylor007,Fat Loss,Muscle Gain,Intermediate,8-Week Fat Loss - Auto,Personalized,2026-08-10,2026-10-04,8,3,Upper Lower,40,RPE-Based,18,6,Auto-Regulated,Draft,Coach,jupyter-full-rebuild-v1.0,1.0,9,"Generated from U000007 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000008,U000008,river008,Fat Loss,General Fitness,Intermediate,8-Week Fat Loss - Full Body,Personalized,2026-08-10,2026-10-04,8,6,Full Body,30,Double Progression,54,9,Auto-Regulated,Draft,User,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000008 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000009,U000009,khoa009,Fat Loss,Rehabilitation and Joint Health,Advanced,8-Week Fat Loss - Auto,Personalized,2026-08-10,2026-10-04,8,5,Push Pull Legs,50,RPE-Based,60,12,Auto-Regulated,Draft,AI,jupyter-full-rebuild-v1.0,1.0,30,"Generated from U000009 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.","Respect avoided exercises/muscles, recovery capacity, and pain signals.",2026-08-10T08:30,2026-08-10T08:30
PLAN000010,U000010,vinh010,Rehabilitation and Joint Health,Mobility and Flexibility,Intermediate,8-Week Rehabilitation and Joint Health - Auto,Personalized,2026-08-10,2026-10-04,8,4,Auto,75,RPE-Based,56,14,Auto-Regulated,Draft,Hybrid,jupyter-full-rebuild-v1.0,1.0,28,"Generated from U000010 using goal, level, schedule, available_equipment, priority/avoidance and safety constraints.",Medical clearance required before activation; keep exercise selection conservative and pain-free.,2026-08-10T08:30,2026-08-10T08:30
