plan_item_id,plan_id,week_number,day_number,day_name,day_type,session_name,exercise_role,priority_score,selection_reason,focus_muscles,exercise_order,exercise_id,exercise_name_snapshot,exercise_min_level_snapshot,exercise_goals_snapshot,exercise_equipment_snapshot,primary_muscles_snapshot,sets,rep_min,rep_max,duration_seconds,intensity_unit,target_intensity,rest_seconds,tempo,set_type,warmup_sets,is_optional,progression_rule,substitution_exercise_ids,coaching_note
WPI00000001,PLAN000001,1,1,Thursday,Training,Day 1 - Full Body,Primary Compound,4,primary-goal aligned; covers Horizontal Push; training-level compatible; equipment-compatible,"[""Pectoralis Major""]",1,EX0003,Machine Chest Press,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Chest Press Machine""]","[""Pectoralis Major""]",3,6,10,,RPE,8,105,2-0-2,Working,1,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000002,PLAN000001,1,1,Thursday,Training,Day 1 - Full Body,Isolation,4,primary-goal aligned; covers Elbow Flexion; training-level compatible; equipment-compatible,"[""Brachioradialis"", ""Brachialis""]",7,EX0037,Dumbbell Hammer Curl,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Dumbbell""]","[""Brachioradialis"", ""Brachialis""]",3,10,15,,RPE,8,75,2-0-2,Working,0,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000003,PLAN000001,1,1,Thursday,Training,Day 1 - Full Body,Secondary Compound,4,primary-goal aligned; covers Lunge; training-level compatible; equipment-compatible,"[""Quadriceps"", ""Gluteus Maximus""]",2,EX0135,Dumbbell Reverse Lunge,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Dumbbell""]","[""Quadriceps"", ""Gluteus Maximus""]",3,6,10,,RPE,8,105,2-0-2,Working,1,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000004,PLAN000001,1,1,Thursday,Training,Day 1 - Full Body,Secondary Compound,4,primary-goal aligned; covers Hinge; training-level compatible; equipment-compatible,"[""Hamstrings"", ""Gluteus Maximus""]",3,EX0042,Dumbbell Romanian Deadlift,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Dumbbell""]","[""Hamstrings"", ""Gluteus Maximus""]",2,6,10,,RPE,8,105,2-0-2,Working,1,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000005,PLAN000001,1,1,Thursday,Training,Day 1 - Full Body,Secondary Compound,4,primary-goal aligned; covers Horizontal Push; training-level compatible; equipment-compatible,"[""Pectoralis Major""]",4,EX0004,Push-Up,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Bodyweight""]","[""Pectoralis Major""]",3,6,10,,RPE,8,105,2-0-2,Working,1,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000006,PLAN000001,1,1,Thursday,Training,Day 1 - Full Body,Secondary Compound,4,primary-goal aligned; covers Horizontal Push; training-level compatible; equipment-compatible,"[""Pectoralis Major""]",5,EX0210,Seated Machine Chest Press,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Chest Press Machine""]","[""Pectoralis Major""]",3,6,10,,RPE,8,105,2-0-2,Working,1,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000007,PLAN000001,1,1,Thursday,Training,Day 1 - Full Body,Isolation,4,Validated alternative selected to reduce duplicate and redundant session programming.,"[""Anterior Deltoid""]",8,EX0080,Dumbbell Front Raise,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Dumbbell""]","[""Anterior Deltoid""]",3,6,10,,RPE,8,105,2-0-2,Working,1,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000008,PLAN000001,1,1,Thursday,Training,Day 1 - Full Body,Secondary Compound,4,primary-goal aligned; covers Squat; training-level compatible; equipment-compatible,"[""Quadriceps"", ""Gluteus Maximus""]",6,EX0222,Dumbbell Split Squat,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Dumbbell""]","[""Quadriceps"", ""Gluteus Maximus""]",2,6,10,,RPE,8,105,2-0-2,Working,1,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000009,PLAN000001,1,2,Saturday,Training,Day 2 - Full Body,Isolation,4,primary-goal aligned; covers Vertical Push; training-level compatible; equipment-compatible,"[""Anterior Deltoid""]",4,EX0080,Dumbbell Front Raise,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Dumbbell""]","[""Anterior Deltoid""]",3,10,15,,RPE,8,75,2-0-2,Working,0,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
WPI00000010,PLAN000001,1,2,Saturday,Training,Day 2 - Full Body,Isolation,4,primary-goal aligned; covers Scapular Elevation; training-level compatible; equipment-compatible,"[""Upper Trapezius""]",5,EX0059,Dumbbell Shrug,Beginner,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]","[""Dumbbell""]","[""Upper Trapezius""]",3,10,15,,RPE,8,75,2-0-2,Working,0,No,Adjust load to keep final working sets near target RPE; progress only when technique and recovery remain stable.,[],Use controlled technique and a pain-free range of motion; stop or substitute any movement that causes pain.
