feedback_id,user_id,plan_id,history_session_id,history_item_id,plan_item_id,exercise_id,feedback_scope,feedback_type,rating,sentiment,difficulty_feedback,enjoyment_rating,fatigue_feedback,pain_feedback,pain_areas,duration_feedback,exercise_preference,progression_preference,requested_action,feedback_text,feedback_reason_tags,source_context,feedback_status,record_source,is_synthetic,created_at,updated_at
FB00000001,U000500,PLAN001000,WHS00018366,WHI000080620,WPI00017630,EX0004,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Pain,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Push-Up tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, khi tập với mức hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-06-21T18:00:00,2026-08-12T08:36:22
FB00000002,U000499,PLAN000999,WHS00018362,WHI000080600,WPI00017626,EX0314,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Standing Ab Wheel Rollout tạo cảm giác không thật ổn ở Joint discomfort, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, khi tập với mức hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-06-25T18:00:00,2026-08-12T08:36:22
FB00000003,U000499,PLAN000999,WHS00018357,WHI000080569,WPI00017608,EX0131,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Knee khi tập Machine Hip Thrust, nên muốn replace exercise trước buổi sau. Mức đánh giá 2/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-21T18:00:00,2026-08-12T08:36:22
FB00000004,U000495,PLAN000995,WHS00018293,WHI000080152,WPI00017534,EX0004,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Push-Up, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 2/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-02-12T18:00:00,2026-08-12T08:36:22
FB00000005,U000491,PLAN000991,WHS00018212,WHI000079726,WPI00017459,EX0106,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Khi thực hiện Copenhagen Plank, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Replace Exercise. Mức đánh giá 1/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-04-02T18:00:00,2026-08-12T08:36:22
FB00000006,U000490,PLAN000990,WHS00018193,WHI000079668,WPI00017448,EX0125,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Pain,"[""Back""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Khi thực hiện Machine Lateral Raise, vùng Back hơi khó chịu; nên ưu tiên phương án Review Safety. Mức đánh giá 2/5, khi theo giáo án hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-23T18:00:00,2026-08-12T08:36:22
FB00000007,U000488,PLAN000988,WHS00018160,WHI000079598,WPI00017435,EX0176,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Pain,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Side Plank tạo cảm giác không thật ổn ở Knee, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 2/5, khi tập với mức hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-04-10T18:00:00,2026-08-12T08:36:22
FB00000008,U000487,PLAN000987,WHS00018138,WHI000079478,WPI00017403,EX0250,Exercise,Safety,1,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Knee""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Single-Leg Leg Press tạo cảm giác không thật ổn ở Knee, tôi muốn kiểm tra kỹ thuật và điều chỉnh an toàn hơn. Mức đánh giá 1/5, khi tập với mức hiện tại.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-07-04T18:00:00,2026-08-12T08:36:22
FB00000009,U000483,PLAN000983,WHS00018074,WHI000079152,WPI00017315,EX0026,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Mild Discomfort,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Replace Exercise,"Tôi cảm thấy mild discomfort ở Joint discomfort khi tập Plank, nên muốn replace exercise trước buổi sau. Mức đánh giá 2/5, trong nhịp tập tuần này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-01-26T18:00:00,2026-08-12T08:36:22
FB00000010,U000482,PLAN000982,WHS00018054,WHI000079080,WPI00017297,EX0028,Exercise,Safety,2,Negative,Too Hard,1,Not Applicable,Pain,"[""Joint discomfort""]",Not Applicable,Dislike,Reduce Difficulty,Review Safety,"Khi thực hiện Hanging Leg Raise, vùng Joint discomfort hơi khó chịu; nên ưu tiên phương án Review Safety. Mức đánh giá 2/5, ở bối cảnh lịch tập này.","[""Needs adjustment"",""Too hard"",""Low enjoyment"",""Discomfort""]",after_exercise,Active,Synthetic,True,2026-03-29T18:00:00,2026-08-12T08:36:22
