sample_id,sample_source,task_type,user_id,plan_id,exercise_id,training_level,primary_goal,secondary_goal,gender,age,height_cm,weight_kg,bmi,bmi_category,training_days_per_week,preferred_split,gym_access_level,available_equipment_count,injury_count,limitation_count,exercise_category,exercise_difficulty,minimum_training_level,primary_muscle_count,secondary_muscle_count,equipment_count,technical_complexity_score,fatigue_score,mobility_requirement,balance_requirement,estimated_MET,primary_muscles,secondary_muscles,equipment,movement_pattern,joint_stress_areas,contraindications,joint_stress_count,contraindication_count,completion_rate,set_completion_rate,skipped_rate,partial_rate,average_rpe,average_fatigue,pain_rate,trend,safety_status,risk_score,risk_flag_count,contraindication_match_count,pain_match_count,sentiment_positive_count,sentiment_neutral_count,sentiment_negative_count,too_easy_count,too_hard_count,liked_exercise_count,disliked_exercise_count,pain_related_exercise_count,recommended_action,days_per_week,label_name,label_value,feedback_id,history_session_id,history_item_id,plan_item_id,rating,sentiment,difficulty_feedback,enjoyment_rating,fatigue_feedback,pain_feedback,duration_feedback,progression_preference,requested_action,feedback_reason_tag_count,actual_rpe,actual_load_kg,difficulty_rating,exercise_enjoyment,pain_during_exercise,technique_quality,session_rpe,session_completion_pct,plan_item_role,exercise_preference,pain_area_count,safety_label
REC0000001,recommendation_training_dataset,recommendation,U000001,PLAN000001,EX0003,Intermediate,Muscle Gain,General Fitness,Male,35,166.0,72.1,26.16,Overweight,3,Full Body,Commercial Gym,2,0,0,Resistance Training,Beginner,Beginner,1,2,1,1.0,1.0,1.0,1.0,3.5,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Chest Press Machine""]",Horizontal Push,"[""Shoulder"", ""Elbow""]",[],2,0,0.7949,0.9256,0.0,0.0,8.01,3.06,0.0513,,Safe,0.0,0.0,0.0,0.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,3.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000002,recommendation_training_dataset,recommendation,U000002,PLAN000002,EX0003,Intermediate,Strength,Muscle Gain,Female,20,176.0,85.0,27.44,Overweight,2,Push Pull Legs,Commercial Gym,3,0,0,Resistance Training,Beginner,Beginner,1,2,1,1.0,1.0,1.0,1.0,3.5,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Chest Press Machine""]",Horizontal Push,"[""Shoulder"", ""Elbow""]",[],2,0,0.8438,0.9375,0.0,0.0,8.26,3.23,0.0312,,Safe,0.0,0.0,0.0,0.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,2.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000003,recommendation_training_dataset,recommendation,U000003,PLAN000003,EX0004,Advanced,Fat Loss,Strength,Other,35,179.0,90.4,28.21,Overweight,3,Body Part Split,Limited Gym,5,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8857,0.966,0.0,0.0,6.9,2.0,0.0,,Safe,0.0,0.0,0.0,0.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Keep,3.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000005,recommendation_training_dataset,recommendation,U000005,PLAN000005,EX0004,Beginner,General Fitness,Muscular Endurance,Male,34,165.0,69.4,25.49,Overweight,2,Auto,Commercial Gym,2,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.9375,0.9688,0.0,0.0,6.79,2.06,0.0625,,Safe,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Reduce Difficulty,2.0,recommended_action,Reduce Difficulty,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000006,recommendation_training_dataset,recommendation,U000006,PLAN000006,EX0003,Beginner,General Fitness,Muscular Endurance,Female,35,171.0,71.4,24.42,Normal,6,Upper Lower,Commercial Gym,4,0,0,Resistance Training,Beginner,Beginner,1,2,1,1.0,1.0,1.0,1.0,3.5,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Chest Press Machine""]",Horizontal Push,"[""Shoulder"", ""Elbow""]",[],2,0,0.8611,0.9458,0.0,0.0,6.87,2.0,0.0,,Safe,0.0,0.0,0.0,0.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Keep,6.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000007,recommendation_training_dataset,recommendation,U000007,PLAN000007,EX0004,Intermediate,Fat Loss,Muscle Gain,Other,53,166.0,91.6,33.24,Obese,3,Upper Lower,Commercial Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8537,0.9512,0.0,0.0,6.89,2.0,0.0,,Safe,0.0,0.0,0.0,0.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Keep,3.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000008,recommendation_training_dataset,recommendation,U000008,PLAN000008,EX0004,Intermediate,Fat Loss,General Fitness,Prefer not to say,26,182.0,105.3,31.79,Obese,6,Full Body,Limited Gym,3,0,0,Bodyweight,Beginner,Beginner,1,2,1,2.0,2.0,2.0,1.0,3.8,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Bodyweight""]",Horizontal Push,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],3,0,0.8974,1.0,0.0,0.0,6.77,2.0,0.0,,Safe,0.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Keep,6.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000009,recommendation_training_dataset,recommendation,U000009,PLAN000009,EX0003,Advanced,Fat Loss,Rehabilitation and Joint Health,Male,25,183.0,111.1,33.18,Obese,5,Push Pull Legs,Commercial Gym,3,0,0,Resistance Training,Beginner,Beginner,1,2,1,1.0,1.0,1.0,1.0,3.5,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Chest Press Machine""]",Horizontal Push,"[""Shoulder"", ""Elbow""]",[],2,0,0.8649,0.9459,0.0,0.0,7.01,2.03,0.027,,Safe,0.0,0.0,0.0,0.0,33.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,Keep,5.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000010,recommendation_training_dataset,recommendation,U000010,PLAN000010,EX0026,Intermediate,Rehabilitation and Joint Health,Mobility and Flexibility,Male,38,164.0,78.7,29.26,Overweight,4,Auto,Limited Gym,4,1,1,Bodyweight,Beginner,Beginner,2,3,1,1.5,2.0,1.0,2.0,3.0,"[""Rectus Abdominis"", ""Transverse Abdominis""]","[""Obliques"", ""Erector Spinae"", ""Serratus Anterior""]","[""Bodyweight""]",Core Anti-Extension,"[""Lower Back"", ""Shoulder""]",[],2,0,0.7143,0.9143,0.0,0.0,5.71,3.03,0.0286,,Review,0.55,1.0,0.0,0.0,32.0,6.0,3.0,0.0,0.0,1.0,1.0,0.0,Review Safety,4.0,recommended_action,Review Safety,,,,,,,,,,,,,,,,,,,,,,,,,,
REC0000011,recommendation_training_dataset,recommendation,U000011,PLAN000011,EX0281,Advanced,Strength,Muscle Gain,Female,37,165.0,77.7,28.54,Overweight,6,Body Part Split,Limited Gym,4,0,0,Resistance Training,Intermediate,Intermediate,2,1,1,3.0,3.5,2.5,3.0,4.0,"[""Pectoralis Major"", ""Triceps Brachii""]","[""Anterior Deltoid""]","[""Resistance Band""]",Horizontal Push,"[""Shoulder"", ""Wrist"", ""Elbow""]","[""Shoulder impingement""]",3,1,0.75,0.9234,0.0,0.0,8.41,3.03,0.025,,Safe,0.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Keep,6.0,recommended_action,Keep,,,,,,,,,,,,,,,,,,,,,,,,,,
