feedback_text,count,percent
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, khi theo giáo án hiện tại.",155,1.069
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, khi tập với mức hiện tại.",151,1.0414
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, trong nhịp tập tuần này.",148,1.0207
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, khi tập với mức hiện tại.",147,1.0138
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, trong nhịp tập tuần này.",138,0.9517
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, trong nhịp tập tuần này.",137,0.9448
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, ở lần ghi nhận gần đây.",135,0.931
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, ở phần cuối buổi.",125,0.8621
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, khi theo giáo án hiện tại.",124,0.8552
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, sau khi hoàn thành phần chính.",122,0.8414
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, khi theo giáo án hiện tại.",121,0.8345
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, khi tập với mức hiện tại.",119,0.8207
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, ở lần ghi nhận gần đây.",114,0.7862
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 5/5, ở phần cuối buổi.",106,0.731
"Buổi tập hôm nay ở mức ổn, có vài đoạn hơi đuối nhưng chưa cần thay đổi lớn. Mức đánh giá 3/5, sau khi hoàn thành phần chính.",104,0.7172
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, sau khi hoàn thành phần chính.",104,0.7172
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, ở lần ghi nhận gần đây.",96,0.6621
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, ở phần cuối buổi.",90,0.6207
"Buổi tập này vừa sức, tôi hoàn thành tốt phần lớn nội dung và muốn giữ nhịp hiện tại. Mức đánh giá 4/5, ở bối cảnh lịch tập này.",90,0.6207
