coverage_metric,source_table,target_table,source_count,covered_count,uncovered_count,coverage_percent,status,note
users_with_plans,users,workout_plans,500,500,0,100.0,Excellent Coverage,Users represented in workout plans.
users_with_history,users,workout_history_sessions,500,500,0,100.0,Excellent Coverage,Users represented in workout history.
users_with_feedback,users,user_feedback,500,500,0,100.0,Excellent Coverage,Users represented in feedback.
exercises_used_in_plan_items,exercises,workout_plan_items,350,221,129,63.143,Moderate Coverage,Exercise library coverage in generated plans.
exercises_used_in_history_items,exercises,workout_history_items,350,220,130,62.857,Moderate Coverage,Exercise library coverage in history.
exercises_used_in_feedback,exercises,user_feedback,350,220,130,62.857,Moderate Coverage,Exercise library coverage in feedback.
plans_with_items,workout_plans,workout_plan_items,1000,1000,0,100.0,Excellent Coverage,Plans with prescribed items.
plans_with_history,workout_plans,workout_history_sessions,1000,1000,0,100.0,Excellent Coverage,Plans with logged history.
plans_with_feedback,workout_plans,user_feedback,1000,1000,0,100.0,Excellent Coverage,Plans with feedback context.
history_sessions_with_items,workout_history_sessions,workout_history_items,18380,18380,0,100.0,Excellent Coverage,Sessions with item-level logs.
history_items_with_feedback,workout_history_items,user_feedback,80634,9000,71634,11.162,Needs Improvement,History item coverage in explicit feedback; low is normal because feedback is sampled.
