exercise_id,exercise_name,aliases,category,body_region,mechanics_type,movement_pattern,force_type,kinetic_chain,laterality,equipment,load_position,primary_muscles,secondary_muscles,stabilizer_muscles,movement_planes,joint_actions,range_of_motion_type,resistance_profile,muscle_length_bias,axial_loading,minimum_training_level,technical_complexity_score,coordination_requirement,stability_requirement,mobility_requirement,balance_requirement,systemic_fatigue_score,local_fatigue_score,recommended_goals,relative_injury_risk,joint_stress_areas,contraindications,exercise_setup,execution_steps,common_mistakes,cues,breathing_pattern,progressions,regressions,alternatives,met_value,source_ids,record_status,last_reviewed_date
EX0001,Barbell Bench Press,"[""Flat Barbell Bench Press"", ""Barbell Flat Bench Press""]",Resistance Training,Upper Body,Compound,Horizontal Push,Push,Open Chain,Bilateral,"[""Barbell"", ""Flat Bench"", ""Power Rack""]",Anterior,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Rotator Cuff"", ""Serratus Anterior"", ""Forearms"", ""Rectus Abdominis""]","[""Transverse""]","[""Shoulder Horizontal Adduction"", ""Elbow Extension""]",Full,Ascending,Lengthened,Low,Beginner,3,3,3,2,1,3,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Shoulder"", ""Elbow"", ""Wrist""]","[""Acute shoulder pain"", ""Painful pressing"", ""Inability to maintain a stable setup""]","Place a flat bench under the rack, align the eyes slightly behind the bar, plant both feet, and grip the bar evenly.","[""Unrack with elbows extended"", ""Lower the bar under control toward the lower-to-mid chest"", ""Press upward while maintaining upper-back tension""]","[""Bouncing the bar"", ""Excessive elbow flare"", ""Wrists excessively extended"", ""Loss of foot pressure""]","[""Keep wrists stacked"", ""Maintain upper-back tension"", ""Control the descent"", ""Press the floor away""]",Inhale and brace before lowering; exhale after passing the sticking region.,"[""Paused Barbell Bench Press"", ""Close-Grip Barbell Bench Press""]","[""Machine Chest Press"", ""Push-Up""]","[""Dumbbell Bench Press"", ""Smith Machine Bench Press""]",3.5,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0002,Dumbbell Bench Press,[],Resistance Training,Upper Body,Compound,Horizontal Push,Push,Open Chain,Bilateral,"[""Dumbbell"", ""Flat Bench""]",Anterior,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Rotator Cuff"", ""Serratus Anterior"", ""Forearms"", ""Rectus Abdominis""]","[""Transverse""]","[""Shoulder Horizontal Adduction"", ""Elbow Extension""]",Full,Ascending,Lengthened,Low,Beginner,3,3,4,2,1,3,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Shoulder"", ""Elbow"", ""Wrist""]","[""Acute shoulder pain"", ""Painful pressing"", ""Poor dumbbell control""]","Sit on the bench with the dumbbells on the thighs, lie back under control, and position the dumbbells beside the chest.","[""Press the dumbbells upward"", ""Lower them under control through a comfortable range"", ""Maintain forearm alignment under the dumbbells""]","[""Dumbbells drifting too low"", ""Uneven pressing"", ""Excessive arching"", ""Colliding the dumbbells""]","[""Stack wrists over elbows"", ""Control both sides evenly"", ""Keep the upper back stable""]",Inhale while lowering; exhale while pressing.,"[""Alternating Dumbbell Bench Press"", ""Heavy Dumbbell Bench Press""]","[""Machine Chest Press"", ""Push-Up""]","[""Barbell Bench Press"", ""Neutral-Grip Dumbbell Bench Press""]",3.5,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0003,Machine Chest Press,"[""Seated Chest Press""]",Resistance Training,Upper Body,Compound,Horizontal Push,Push,Open Chain,Bilateral,"[""Chest Press Machine""]",Machine Guided,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Rotator Cuff"", ""Serratus Anterior""]","[""Transverse""]","[""Shoulder Horizontal Adduction"", ""Elbow Extension""]",Full,Machine Dependent,Lengthened,Low,Beginner,1,1,1,1,1,1,3,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Shoulder"", ""Elbow""]",[],Adjust the seat so the handles align near mid-chest and keep the back supported.,"[""Grip the handles"", ""Press forward without forcefully locking the elbows"", ""Return under control to a comfortable stretch""]","[""Incorrect seat height"", ""Shoulders rolling forward"", ""Using momentum"", ""Short range""]","[""Keep the chest supported"", ""Drive elbows forward"", ""Control the return""]",Exhale while pressing; inhale while returning.,"[""Dumbbell Bench Press"", ""Barbell Bench Press""]","[""Wall Push-Up"", ""Incline Push-Up""]","[""Push-Up"", ""Cable Chest Press""]",3.5,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0004,Push-Up,"[""Standard Push-Up""]",Bodyweight,Upper Body,Compound,Horizontal Push,Push,Closed Chain,Bilateral,"[""Bodyweight""]",Anterior,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Serratus Anterior"", ""Rectus Abdominis"", ""Obliques"", ""Gluteus Maximus""]","[""Transverse"", ""Sagittal""]","[""Shoulder Horizontal Adduction"", ""Elbow Extension"", ""Scapular Protraction""]",Full,Ascending,Lengthened,Low,Beginner,2,2,3,2,1,2,3,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Shoulder"", ""Elbow"", ""Wrist""]",[],Place the hands slightly wider than shoulder width and create a straight line from head to heels.,"[""Lower the chest between the hands"", ""Keep the elbows at a comfortable angle"", ""Press the floor away to return""]","[""Hips sagging"", ""Head reaching forward"", ""Partial range without reason"", ""Hands excessively wide""]","[""Brace the trunk"", ""Move as one unit"", ""Push the floor away""]",Inhale while lowering; exhale while pressing.,"[""Feet-Elevated Push-Up"", ""Weighted Push-Up""]","[""Incline Push-Up"", ""Wall Push-Up""]","[""Machine Chest Press"", ""Dumbbell Bench Press""]",3.8,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0005,Incline Dumbbell Bench Press,"[""Incline Dumbbell Press""]",Resistance Training,Upper Body,Compound,Horizontal Push,Push,Open Chain,Bilateral,"[""Dumbbell"", ""Adjustable Bench""]",Anterior,"[""Pectoralis Major""]","[""Anterior Deltoid"", ""Triceps Brachii""]","[""Rotator Cuff"", ""Serratus Anterior"", ""Forearms"", ""Rectus Abdominis""]","[""Transverse"", ""Sagittal""]","[""Shoulder Horizontal Adduction"", ""Shoulder Flexion"", ""Elbow Extension""]",Full,Ascending,Lengthened,Low,Beginner,3,3,4,2,1,3,4,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Moderate,"[""Shoulder"", ""Elbow"", ""Wrist""]","[""Acute shoulder pain"", ""Painful incline pressing"", ""Poor dumbbell control""]",Set the bench to a moderate incline and position the dumbbells beside the upper chest.,"[""Press upward and slightly inward"", ""Lower under control until a comfortable upper-chest stretch"", ""Maintain even arm paths""]","[""Bench angle too steep"", ""Dumbbells drifting forward"", ""Excessive elbow flare"", ""Uneven pressing""]","[""Keep forearms vertical"", ""Press through a consistent path"", ""Control the bottom position""]",Inhale while lowering; exhale while pressing.,"[""Low-Incline Dumbbell Press"", ""Alternating Incline Dumbbell Press""]","[""Incline Machine Press"", ""Incline Push-Up""]","[""Incline Barbell Bench Press"", ""Machine Chest Press""]",3.5,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0006,Seated Cable Row,"[""Cable Seated Row""]",Resistance Training,Upper Body,Compound,Horizontal Pull,Pull,Open Chain,Bilateral,"[""Cable Machine"", ""Row Handle""]",Anterior,"[""Latissimus Dorsi"", ""Rhomboids""]","[""Middle Trapezius"", ""Posterior Deltoid"", ""Biceps Brachii""]","[""Erector Spinae"", ""Rotator Cuff"", ""Forearms""]","[""Sagittal"", ""Transverse""]","[""Shoulder Extension"", ""Elbow Flexion"", ""Scapular Retraction""]",Full,Constant,Lengthened,Low,Beginner,2,2,2,2,2,1,3,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Shoulder"", ""Elbow"", ""Low Back""]","[""Acute low-back pain"", ""Pain during pulling""]","Sit with the feet supported, knees slightly bent, torso tall, and hold the handle.","[""Initiate by drawing the shoulder blades back"", ""Pull the handle toward the lower ribs"", ""Return under control without collapsing the torso""]","[""Excessive torso swinging"", ""Shrugging"", ""Rounding the low back"", ""Shortened return""]","[""Keep ribs stacked"", ""Pull elbows behind the body"", ""Reach forward under control""]",Exhale while rowing; inhale while returning.,"[""Chest-Supported Row"", ""Bent-Over Barbell Row""]","[""Resistance Band Row""]","[""One-Arm Dumbbell Row"", ""Machine Row""]",3.5,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0007,Chest-Supported Dumbbell Row,"[""Chest-Supported Row"", ""Incline Bench Dumbbell Row""]",Resistance Training,Upper Body,Compound,Horizontal Pull,Pull,Open Chain,Bilateral,"[""Dumbbell"", ""Adjustable Bench""]",Anterior,"[""Latissimus Dorsi"", ""Rhomboids""]","[""Middle Trapezius"", ""Posterior Deltoid"", ""Biceps Brachii""]","[""Rotator Cuff"", ""Forearms""]","[""Sagittal"", ""Transverse""]","[""Shoulder Extension"", ""Elbow Flexion"", ""Scapular Retraction""]",Full,Ascending,Lengthened,Low,Beginner,2,2,2,2,1,1,3,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Shoulder"", ""Elbow""]","[""Acute shoulder pain"", ""Pain during rowing""]","Set an incline bench, lie chest-down, and let the dumbbells hang beneath the shoulders.","[""Pull the elbows toward the hips or ribs"", ""Pause briefly without shrugging"", ""Lower the dumbbells under control""]","[""Lifting the chest off the bench"", ""Shrugging"", ""Using momentum"", ""Shortened range""]","[""Keep the chest supported"", ""Lead with the elbows"", ""Control the stretch""]",Exhale while rowing; inhale while lowering.,"[""Heavy Chest-Supported Row"", ""Seal Row""]","[""Machine Row"", ""Resistance Band Row""]","[""Seated Cable Row"", ""One-Arm Dumbbell Row""]",3.5,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0008,One-Arm Dumbbell Row,[],Resistance Training,Upper Body,Compound,Horizontal Pull,Pull,Open Chain,Unilateral,"[""Dumbbell"", ""Flat Bench""]",Anterior,"[""Latissimus Dorsi"", ""Rhomboids""]","[""Middle Trapezius"", ""Posterior Deltoid"", ""Biceps Brachii""]","[""Erector Spinae"", ""Rotator Cuff"", ""Forearms"", ""Obliques""]","[""Sagittal"", ""Transverse""]","[""Shoulder Extension"", ""Elbow Flexion"", ""Scapular Retraction""]",Full,Ascending,Lengthened,Low,Beginner,3,3,3,2,2,2,3,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Shoulder"", ""Elbow"", ""Low Back""]","[""Acute low-back pain"", ""Inability to maintain trunk position""]","Support one hand and knee on a bench, keep the spine neutral, and hold the dumbbell in the free hand.","[""Pull the dumbbell toward the hip"", ""Keep the trunk mostly still"", ""Lower until the shoulder blade can move forward under control""]","[""Rotating the torso excessively"", ""Shrugging"", ""Pulling toward the shoulder"", ""Rounding the low back""]","[""Drive the elbow toward the hip"", ""Keep hips square"", ""Control the bottom stretch""]",Exhale while rowing; inhale while lowering.,"[""Heavy One-Arm Dumbbell Row"", ""Meadows Row""]","[""Chest-Supported Dumbbell Row"", ""Machine Row""]","[""Seated Cable Row"", ""Single-Arm Cable Row""]",3.5,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0009,Machine Row,"[""Seated Machine Row""]",Resistance Training,Upper Body,Compound,Horizontal Pull,Pull,Open Chain,Bilateral,"[""Row Machine""]",Machine Guided,"[""Latissimus Dorsi"", ""Rhomboids""]","[""Middle Trapezius"", ""Posterior Deltoid"", ""Biceps Brachii""]","[""Rotator Cuff"", ""Forearms""]","[""Sagittal"", ""Transverse""]","[""Shoulder Extension"", ""Elbow Flexion"", ""Scapular Retraction""]",Full,Machine Dependent,Lengthened,Low,Beginner,1,1,1,1,1,1,3,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Shoulder"", ""Elbow""]","[""Acute shoulder pain"", ""Pain during pulling""]",Adjust the seat and chest support so the handles can be reached without rounding the torso.,"[""Pull the handles toward the ribs"", ""Keep the chest supported"", ""Return under control to a comfortable stretch""]","[""Seat set incorrectly"", ""Shrugging"", ""Using momentum"", ""Failing to control the return""]","[""Keep the chest on the pad"", ""Lead with the elbows"", ""Reach forward smoothly""]",Exhale while rowing; inhale while returning.,"[""Chest-Supported Dumbbell Row"", ""Seated Cable Row""]","[""Resistance Band Row""]","[""One-Arm Dumbbell Row"", ""Cable Row""]",3.5,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
EX0010,Inverted Row,"[""Body Row"", ""Australian Pull-Up""]",Bodyweight,Upper Body,Compound,Horizontal Pull,Pull,Closed Chain,Bilateral,"[""Barbell"", ""Power Rack"", ""Bodyweight""]",Hanging,"[""Latissimus Dorsi"", ""Rhomboids""]","[""Middle Trapezius"", ""Posterior Deltoid"", ""Biceps Brachii""]","[""Rotator Cuff"", ""Forearms"", ""Rectus Abdominis"", ""Gluteus Maximus""]","[""Sagittal"", ""Transverse""]","[""Shoulder Extension"", ""Elbow Flexion"", ""Scapular Retraction""]",Full,Ascending,Lengthened,Low,Beginner,2,2,3,2,1,2,3,"[""Athletic Performance"",""Balance"",""Conditioning"",""Coordination"",""Core Stability"",""Corrective Exercise"",""Fat Loss"",""Flexibility"",""General Fitness"",""Grip Strength"",""Gymnastics"",""Injury Prevention"",""Joint Health"",""Knee Health"",""Mobility"",""Mobility and Flexibility"",""Muscle Gain"",""Muscular Endurance"",""Posture Correction"",""Power"",""Rehabilitation"",""Rehabilitation and Joint Health"",""Shoulder Health"",""Shin Splint Relief"",""Sport Performance"",""Strength"",""Strength Preparation"",""Warm-up""]",Low,"[""Shoulder"", ""Elbow"", ""Wrist""]","[""Acute shoulder pain"", ""Inability to maintain trunk alignment""]","Set a secure bar at a suitable height, grip it, and position the body in a straight line.","[""Pull the chest toward the bar"", ""Keep the hips extended"", ""Lower under control until the arms are straight""]","[""Hips sagging"", ""Shrugging"", ""Pulling the chin instead of the chest"", ""Using momentum""]","[""Keep the body rigid"", ""Pull the chest to the bar"", ""Squeeze the shoulder blades""]",Exhale while pulling; inhale while lowering.,"[""Feet-Elevated Inverted Row"", ""Weighted Inverted Row""]","[""Higher-Bar Inverted Row"", ""Bent-Knee Inverted Row""]","[""Seated Cable Row"", ""Machine Row""]",3.8,"[""SRC_ACSM_2026_RT"", ""SRC_NCSA_TECHNIQUE"", ""SRC_COMPENDIUM_2024""]",Reviewed,2026-07-23
